nmfat,dtfat,idcli,npais,quant,valor,,,,Média dos Valores:,408.22
536399,11/5/2021 14:24,12901,United Kingdom,72,140.04,,,,,
536400,1/12/2021 9:16,15544,United Kingdom,-3,-2.55,,,,,
536401,4/19/2021 11:19:00,14211,United Kingdom,72,155.6,,,,,
536402,1/6/2021 12:22,13094,United Kingdom,144,152.64,,,,,
536403,4/13/2021 9:59:00,13138,United Kingdom,72,193.62,,,,,
536404,9/11/2021 9:47,12921,United Kingdom,19,71.25,,,,,
536405,4/13/2021 16:03:00,18178,United Kingdom,-2,-7.5,,,,,
536406,9/29/2021 18:30:00,16268,United Kingdom,465,493.76,,,,,
536407,12/9/2021 9:37,14307,United Kingdom,323,656.23,,,,,
536408,12/15/2020 16:21:00,15615,United Kingdom,364,1048.64,,,,,
536409,11/4/2021 13:24,,United Kingdom,1,30,,,,,
536412,1/12/2021 13:41,17321,United Kingdom,5,41.25,,,,,
536414,1/31/2021 16:47:00,15881,United Kingdom,154,339.29,,,,,
536415,10/11/2021 11:06,13983,United Kingdom,72,128.88,,,,,
536416,10/8/2021 11:25,14056,United Kingdom,-3,-9.75,,,,,
536420,7/21/2021 12:25:00,14527,United Kingdom,-1,-12.15,,,,,
536423,2/2/2021 11:10,,United Kingdom,144,161.56,,,,,
536425,6/9/2021 10:42,14796,United Kingdom,467,835.95,,,,,
536437,5/8/2021 12:20,13408,United Kingdom,-1,-11.95,,,,,
536446,3/8/2021 14:19,15150,United Kingdom,108,304.42,,,,,
536460,1/8/2021 13:48,14567,United Kingdom,172,800.76,,,,,
536463,7/25/2021 16:58:00,17841,United Kingdom,-10,-12.5,,,,,
536464,3/3/2021 11:33,15078,United Kingdom,-10,-19.5,,,,,
536466,9/12/2020 12:20,17526,United Kingdom,40,226.8,,,,,
536477,11/28/2021 10:46:00,17920,United Kingdom,58,111.11,,,,,
536488,7/20/2021 13:09:00,16774,United Kingdom,56,160.8,,,,,
536500,10/13/2021 15:38:00,17841,United Kingdom,200,437.43,,,,,
536502,8/11/2021 11:03,17870,United Kingdom,62,143.11,,,,,
536508,10/10/2021 9:56,13767,United Kingdom,129,380.31,,,,,
536514,1/20/2021 12:29:00,17315,United Kingdom,172,331.76,,,,,
536520,7/20/2021 11:51:00,14606,United Kingdom,-28,-23.37,,,,,
536521,6/10/2021 15:46,13924,United Kingdom,-19,-65.09,,,,,
536522,9/5/2021 12:39,15932,United Kingdom,262,305.02,,,,,
536523,8/9/2021 13:17,12839,United Kingdom,286,413.58,,,,,
536524,11/17/2021 10:01:00,17461,United Kingdom,342,349.2,,,,,
536525,10/21/2021 16:18:00,13171,United Kingdom,60,132.54,,,,,
536526,11/21/2021 16:20:00,18139,United Kingdom,1644,2786.4,,,,,
536527,11/25/2021 11:41:00,12748,United Kingdom,256,420.41,,,,,
536528,5/17/2021 17:03:00,13266,United Kingdom,-2,-3.2,,,,,
536529,1/27/2021 12:13:00,14560,United Kingdom,39,152.25,,,,,
536531,11/22/2021 17:03:00,12483,Sweden,-2,-80,,,,,
536532,6/7/2021 16:39,16422,United Kingdom,406,587.46,,,,,
536533,11/23/2021 11:18:00,16020,United Kingdom,10,16.5,,,,,
536534,3/7/2021 15:19,12748,United Kingdom,60,115.55,,,,,
536535,4/10/2021 17:44,14533,United Kingdom,-1200,-84,,,,,
536536,4/19/2021 16:32:00,16873,United Kingdom,-6,-14.4,,,,,
536537,10/17/2021 11:32:00,17706,United Kingdom,-13,-50.8,,,,,
536538,2/21/2021 12:31:00,17422,United Kingdom,-15,-55.35,,,,,
536539,12/16/2020 15:37:00,15777,United Kingdom,-3,-25.5,,,,,
536540,11/21/2021 13:06:00,17811,United Kingdom,-6,-11.7,,,,,
536541,4/12/2021 10:29,18065,United Kingdom,50,188.9,,,,,
536542,5/19/2021 14:14:00,14620,United Kingdom,-26,-19.5,,,,,
536544,10/10/2021 9:14,14665,United Kingdom,238,559.52,,,,,
536545,2/12/2020 15:18,17567,United Kingdom,244,517.95,,,,,
536546,2/21/2021 16:58:00,15079,United Kingdom,-1,-1.95,,,,,
536547,10/13/2021 15:25:00,,United Kingdom,479,1354.71,,,,,
536549,5/5/2021 14:37,15841,United Kingdom,234,281.66,,,,,
536550,5/27/2021 13:21:00,17841,United Kingdom,-4,-5,,,,,
536551,8/25/2021 12:57:00,12610,Italy,168,309.5,,,,,
536552,6/1/2021 14:53,13764,United Kingdom,282,499.89,,,,,
536553,1/7/2021 12:52,16839,United Kingdom,320,416.96,,,,,
536554,11/9/2021 14:05,13614,United Kingdom,67,302.15,,,,,
536555,7/1/2021 14:49,13233,United Kingdom,404,304.24,,,,,
536556,5/10/2021 15:35,16843,United Kingdom,938,993.88,,,,,
536557,6/15/2021 13:49:00,13047,United Kingdom,-3,-13.85,,,,,
536558,8/2/2021 14:55,12709,Germany,-12,-83.98,,,,,
536559,10/12/2020 13:29,14107,United Kingdom,268,363.24,,,,,
536560,6/4/2021 10:21,17719,United Kingdom,109,312.19,,,,,
536561,6/6/2021 11:55,16103,United Kingdom,92,270.8,,,,,
536562,10/24/2021 10:40:00,14607,United Kingdom,-2344,-2949.28,,,,,
536563,6/30/2021 11:26:00,15039,United Kingdom,-2,-17,,,,,
536564,8/21/2021 14:00:00,16407,United Kingdom,2,15.9,,,,,
536565,8/22/2021 10:04:00,13139,United Kingdom,268,540.92,,,,,
536566,11/11/2021 12:20,14125,United Kingdom,486,1111.08,,,,,
536567,11/5/2021 11:34,17489,United Kingdom,232,208.56,,,,,
536568,10/17/2021 12:16:00,13750,United Kingdom,85,330.63,,,,,
536569,3/29/2021 17:12:00,14189,United Kingdom,224,314.1,,,,,
536570,6/15/2021 13:56:00,12748,United Kingdom,5,14.25,,,,,
536571,10/20/2021 14:01:00,13761,United Kingdom,418,578.94,,,,,
536572,2/16/2021 16:40:00,15867,United Kingdom,36,133,,,,,
536573,5/8/2021 15:45,13552,United Kingdom,216,463.9,,,,,
536574,10/27/2021 17:00:00,12709,Germany,110,268.68,,,,,
536575,6/28/2021 8:39:00,16945,United Kingdom,24,10.08,,,,,
536576,9/12/2021 9:08,17490,United Kingdom,228,488.4,,,,,
536577,11/30/2021 14:30:00,,United Kingdom,13,32.07,,,,,
536578,10/7/2021 12:25,16880,United Kingdom,135,269.49,,,,,
536579,4/4/2021 13:47,17956,United Kingdom,1,12.75,,,,,
536580,5/9/2021 12:21,14111,United Kingdom,18,48.3,,,,,
536581,8/6/2021 12:57,12901,United Kingdom,90,276.24,,,,,
536582,3/29/2021 15:15:00,16607,United Kingdom,163,141.41,,,,,
536583,6/17/2021 12:16:00,15021,United Kingdom,119,218.14,,,,,
536585,10/17/2021 10:17:00,13394,United Kingdom,463,371.73,,,,,
536586,1/26/2021 16:41:00,14733,United Kingdom,133,511.69,,,,,
536588,5/19/2021 12:19:00,16029,United Kingdom,-48,-9.6,,,,,
536589,3/31/2021 19:20:00,16600,United Kingdom,186,111.6,,,,,
536590,6/30/2021 13:43:00,14561,United Kingdom,192,344.92,,,,,
536591,7/2/2021 16:24,,United Kingdom,1,7.95,,,,,
536592,9/3/2021 9:44,14032,United Kingdom,291,309.64,,,,,
536593,6/21/2021 11:57:00,14110,United Kingdom,156,379.72,,,,,
536594,2/21/2021 17:35:00,16441,United Kingdom,110,211,,,,,
536595,12/5/2021 16:45,15544,United Kingdom,393,560.35,,,,,
536596,1/31/2021 10:42:00,15448,United Kingdom,232,494.64,,,,,
536597,9/1/2021 14:21,17757,United Kingdom,93,145.5,,,,,
536598,1/12/2020 15:28,16048,United Kingdom,12,5.04,,,,,
536599,6/3/2021 12:09,18211,United Kingdom,56,137.9,,,,,
536600,5/19/2021 13:58:00,13591,United Kingdom,135,314.03,,,,,
536601,4/26/2021 11:06:00,12753,Japan,-33,-85.47,,,,,
536602,9/20/2021 9:13:00,14236,United Kingdom,272,301.56,,,,,
536603,7/14/2021 13:35:00,13933,United Kingdom,113,300.99,,,,,
536604,3/23/2021 10:27:00,15061,United Kingdom,1135,1649.58,,,,,
536605,6/9/2021 10:42,15521,United Kingdom,-92,-192.4,,,,,
536608,6/9/2021 10:27,14560,United Kingdom,240,100.8,,,,,
536609,7/26/2021 11:24:00,13865,United Kingdom,54,100.82,,,,,
536610,11/16/2021 14:56:00,12748,United Kingdom,-1082,-1301,,,,,
536611,1/26/2021 10:51:00,15777,United Kingdom,112,285.6,,,,,
536612,10/20/2021 11:03:00,17764,United Kingdom,247,556.85,,,,,
536613,11/21/2021 14:26:00,16242,United Kingdom,299,534.2,,,,,
536614,6/12/2020 13:17,16550,United Kingdom,-3,-9.05,,,,,
536615,4/21/2021 12:12:00,13389,United Kingdom,115,257.89,,,,,
536616,5/6/2021 13:09,17735,United Kingdom,118,228.3,,,,,
536617,7/31/2021 15:31:00,16655,United Kingdom,523,638.19,,,,,
536618,3/28/2021 15:42:00,13037,United Kingdom,158,250.42,,,,,
536619,11/13/2021 12:47:00,14882,United Kingdom,92,341.8,,,,,
536620,10/19/2021 10:48:00,14911,Ireland,711,1588.75,,,,,
536621,12/23/2020 15:21:00,,United Kingdom,7,15.25,,,,,
536623,3/2/2021 13:27,14606,United Kingdom,72,120.75,,,,,
536624,12/5/2021 11:57,16943,United Kingdom,20,172.1,,,,,
536626,4/14/2021 9:30:00,12709,Germany,41,68,,,,,
536628,4/10/2021 15:58,18102,United Kingdom,112,557.76,,,,,
536629,6/10/2021 14:44,,United Kingdom,1,9.95,,,,,
536630,7/3/2021 12:26,14214,United Kingdom,313,638.65,,,,,
536631,6/10/2021 10:52,15769,United Kingdom,1600,2924,,,,,
536632,8/26/2021 14:04:00,15641,United Kingdom,466,581.82,,,,,
536634,4/5/2021 15:37,14336,United Kingdom,301,230.03,,,,,
536635,9/12/2020 14:08,16519,United Kingdom,24,103.7,,,,,
536636,11/16/2021 15:38:00,15051,United Kingdom,124,245.68,,,,,
536637,3/14/2021 10:38:00,15159,United Kingdom,54,207.3,,,,,
536638,7/18/2021 15:14:00,16746,United Kingdom,162,300.18,,,,,
536640,3/17/2021 18:21:00,14334,United Kingdom,-1,-12.75,,,,,
536641,7/14/2021 10:41:00,12653,Israel,633,1430.75,,,,,
536643,12/21/2020 11:00:00,12678,France,1,150,,,,,
536663,5/4/2021 10:07,14849,United Kingdom,377,422.34,,,,,
536670,7/9/2021 13:06,14911,Ireland,332,637.29,,,,,
536671,12/15/2020 10:48:00,13491,United Kingdom,18,97.5,,,,,
536672,5/17/2021 11:31:00,18102,United Kingdom,306,866.4,,,,,
536673,1/12/2020 12:50,12868,United Kingdom,112,203.3,,,,,
536674,3/24/2021 9:52:00,16265,United Kingdom,182,432.3,,,,,
536676,6/23/2021 12:41:00,13458,United Kingdom,130,300.78,,,,,
536681,2/9/2021 11:46,16092,United Kingdom,-24,-30,,,,,
536685,12/5/2021 19:01,12757,Portugal,311,602.83,,,,,
536688,8/4/2021 14:39,17389,United Kingdom,72,73.5,,,,,
536690,2/11/2021 9:45,15065,United Kingdom,202,299.38,,,,,
536693,5/20/2021 12:55:00,13151,United Kingdom,-2,-7.5,,,,,
536698,11/16/2021 9:59:00,17549,United Kingdom,150,120.66,,,,,
536707,7/11/2021 8:30,16523,United Kingdom,198,676.8,,,,,
536732,8/3/2021 17:25,14507,United Kingdom,50,39.49,,,,,
536733,6/14/2021 16:48:00,17179,United Kingdom,82,223.48,,,,,
536735,9/22/2021 11:17:00,15950,United Kingdom,123,255.84,,,,,
536736,6/11/2021 11:56,13447,United Kingdom,166,430.3,,,,,
536738,11/13/2021 11:38:00,17838,United Kingdom,-458,-466.6,,,,,
536739,12/4/2021 13:39,16705,United Kingdom,48,96,,,,,
536740,3/23/2021 14:46:00,16308,United Kingdom,1000,320,,,,,
536741,5/23/2021 10:34:00,13004,United Kingdom,-4,-15.8,,,,,
536742,1/7/2021 15:14,18075,United Kingdom,-4,-18.28,,,,,
536743,11/17/2021 15:24:00,17001,United Kingdom,172,357.6,,,,,
536744,7/14/2021 15:02:00,13515,United Kingdom,127,132.16,,,,,
536745,9/15/2021 17:09:00,17573,United Kingdom,-6,-17.7,,,,,
536746,9/28/2021 15:42:00,15036,United Kingdom,176,219.86,,,,,
536747,12/20/2020 16:19:00,,United Kingdom,26,32.5,,,,,
536748,11/23/2021 11:36:00,17685,United Kingdom,207,392.4,,,,,
536749,11/15/2021 10:51:00,13632,United Kingdom,288,452.14,,,,,
536750,6/21/2021 16:24:00,,United Kingdom,364,1760.85,,,,,
536751,2/2/2021 13:35,,United Kingdom,310,1340.77,,,,,
536752,1/25/2021 12:26:00,18008,United Kingdom,355,130.81,,,,,
536753,11/30/2021 15:02:00,15251,United Kingdom,244,363.88,,,,,
536755,7/12/2020 15:02,16293,United Kingdom,189,378.75,,,,,
536756,1/25/2021 12:52:00,17236,United Kingdom,141,199.33,,,,,
536761,1/17/2021 12:45:00,17744,United Kingdom,-36,-31.32,,,,,
536762,11/17/2021 9:49:00,12471,Germany,519,1072.12,,,,,
536763,7/14/2021 19:23:00,16794,United Kingdom,263,222.13,,,,,
536764,1/21/2021 11:09:00,17504,United Kingdom,233,441.15,,,,,
536765,11/23/2021 13:40:00,17463,United Kingdom,126,198.31,,,,,
536769,2/6/2021 14:15,14453,United Kingdom,49,119.93,,,,,
536771,8/9/2021 13:07,16031,United Kingdom,204,243.31,,,,,
536777,10/17/2021 16:59:00,,United Kingdom,11,13.65,,,,,
536778,3/8/2021 11:24,17940,United Kingdom,648,162,,,,,
536779,8/11/2021 15:36,17183,United Kingdom,-30,-37.5,,,,,
536780,7/24/2021 12:46:00,16948,United Kingdom,1368,194.48,,,,,
536781,2/20/2021 10:30:00,15465,United Kingdom,-3,-32.85,,,,,
536782,9/27/2021 13:21:00,13178,United Kingdom,539,765,,,,,
536783,8/16/2021 10:50:00,18221,United Kingdom,145,169.85,,,,,
536784,7/15/2021 15:22:00,14572,United Kingdom,-1,-12.75,,,,,
536785,1/4/2021 13:17,12888,United Kingdom,-3,-29.85,,,,,
536786,7/4/2021 10:33,14911,Ireland,271,356.23,,,,,
536787,11/21/2021 8:26:00,15738,United Kingdom,202,316.9,,,,,
536788,5/10/2021 9:56,16059,United Kingdom,40,105.3,,,,,
536789,11/14/2021 15:38:00,13268,United Kingdom,2,8.2,,,,,
536790,2/21/2021 12:58:00,16980,United Kingdom,418,732.36,,,,,
536791,1/2/2021 12:08,12929,United Kingdom,37,117.85,,,,,
536792,9/8/2021 13:50,14646,Netherlands,7807,12341.21,,,,,
536793,9/22/2021 12:00:00,13089,United Kingdom,331,886.63,,,,,
536794,12/22/2020 13:59:00,13458,United Kingdom,-10,-16.5,,,,,
536795,5/9/2021 12:24,14177,United Kingdom,2,7.5,,,,,
536796,4/21/2021 13:30:00,13263,United Kingdom,69,133.59,,,,,
536797,1/17/2021 13:39:00,15311,United Kingdom,145,394.57,,,,,
536798,11/25/2021 9:27:00,16719,United Kingdom,235,292.67,,,,,
536799,7/21/2021 17:26:00,15623,United Kingdom,125,301.03,,,,,
536800,7/29/2021 11:45:00,13414,United Kingdom,368,532.8,,,,,
536801,9/11/2021 15:19,15916,United Kingdom,-3,-18.55,,,,,
536802,10/13/2021 12:18:00,15239,United Kingdom,-3,-16.25,,,,,
536803,10/11/2021 16:59,13396,United Kingdom,461,973.72,,,,,
536804,3/28/2021 9:21:00,13652,United Kingdom,178,329.44,,,,,
536805,5/8/2021 11:50,13513,United Kingdom,109,205.1,,,,,
536806,8/21/2021 15:01:00,14013,United Kingdom,258,199.22,,,,,
536808,2/9/2021 9:12,17450,United Kingdom,-1,-200,,,,,
536809,8/12/2021 19:29,14702,United Kingdom,76,199.29,,,,,
536810,10/28/2021 11:55:00,13199,United Kingdom,48,85.92,,,,,
536811,9/28/2021 12:21:00,14911,Ireland,70,141.62,,,,,
536813,5/24/2021 14:47:00,14289,United Kingdom,26,124.68,,,,,
536819,7/12/2021 10:06,14910,United Kingdom,80,110.8,,,,,
536821,5/1/2021 9:57,,United Kingdom,-1,-16453.71,,,,,
536823,5/1/2021 9:54,,United Kingdom,2,10.13,,,,,
536824,3/13/2021 14:55:00,12681,France,185,343.29,,,,,
536830,10/13/2021 15:28:00,15271,United Kingdom,34,79.5,,,,,
536831,12/1/2021 10:16,16655,United Kingdom,373,812.25,,,,,
536832,9/26/2021 12:11:00,14931,Channel Islands,181,261.65,,,,,
536834,4/20/2021 11:11:00,15159,United Kingdom,1,12.5,,,,,
536835,1/25/2021 13:15:00,15339,United Kingdom,159,257.9,,,,,
536836,12/4/2021 13:19,13458,United Kingdom,666,1015.14,,,,,
536837,10/19/2021 16:05:00,17350,United Kingdom,240,156.24,,,,,
536840,8/12/2020 11:42,13126,United Kingdom,108,203.64,,,,,
536842,8/6/2021 10:10,14191,United Kingdom,98,357.6,,,,,
536843,3/11/2021 19:11,16729,United Kingdom,-7,-20.2,,,,,
536844,7/21/2021 12:15:00,16523,United Kingdom,204,484.4,,,,,
536845,5/24/2021 10:24:00,17450,United Kingdom,3084,9468.48,,,,,
536846,9/13/2021 11:26:00,17757,United Kingdom,61,161.19,,,,,
536847,7/12/2020 10:51,14344,United Kingdom,3,17.85,,,,,
536848,2/8/2021 9:14,12449,Belgium,267,777.95,,,,,
536849,8/8/2021 14:32,17511,United Kingdom,-11,-29.49,,,,,
536856,9/26/2021 14:30:00,13434,United Kingdom,240,461.4,,,,,
536857,6/15/2021 10:24:00,,United Kingdom,8,77.72,,,,,
536858,2/11/2021 11:51,17841,United Kingdom,-3,-10.35,,,,,
536859,7/12/2020 9:43,17450,United Kingdom,780,1989.24,,,,,
536860,5/10/2021 15:18,17837,United Kingdom,105,250.95,,,,,
536861,10/27/2021 16:44:00,15622,United Kingdom,106,381.95,,,,,
536862,4/1/2021 16:41,15808,United Kingdom,322,733.92,,,,,
536863,10/3/2021 12:16,16745,United Kingdom,584,541.1,,,,,
536864,11/22/2021 14:13:00,17338,United Kingdom,-1,-10.95,,,,,
536865,7/17/2021 12:35:00,13468,United Kingdom,61,115.87,,,,,
536866,5/10/2021 12:52,12451,Switzerland,1650,2539.56,,,,,
536874,5/17/2021 15:37:00,,United Kingdom,68,430.14,,,,,
536876,9/11/2021 16:03,17702,United Kingdom,302,485.6,,,,,
536883,10/11/2021 16:59,13767,United Kingdom,902,1735.3,,,,,
536884,9/6/2021 19:55,14562,United Kingdom,59,215.39,,,,,
536885,11/27/2021 14:40:00,15514,United Kingdom,277,499.23,,,,,
536890,11/27/2021 13:49:00,14547,United Kingdom,438,534.58,,,,,
536920,7/10/2021 13:34,12885,United Kingdom,293,519.47,,,,,
536938,9/13/2021 16:40:00,13032,United Kingdom,175,496.3,,,,,
536941,6/12/2021 12:26,13755,United Kingdom,80,156.9,,,,,
536942,7/28/2021 19:27:00,13631,United Kingdom,-7,-48.65,,,,,
536943,9/5/2021 16:38,15797,United Kingdom,200,330,,,,,
536944,1/16/2021 16:10:00,16843,United Kingdom,534,759.06,,,,,
536945,1/2/2021 11:07,17356,United Kingdom,166,178.22,,,,,
536946,9/15/2021 9:53:00,14911,Ireland,226,368.37,,,,,
536947,2/16/2021 14:01:00,16148,United Kingdom,72,76.32,,,,,
536954,12/19/2020 13:59:00,17841,United Kingdom,152,283.52,,,,,
536956,11/4/2021 12:45,16168,United Kingdom,88,141.2,,,,,
536957,1/11/2021 14:51,17428,United Kingdom,48,311.18,,,,,
536960,2/24/2021 9:36:00,14513,United Kingdom,7,18.75,,,,,
536967,1/13/2021 12:32:00,16503,United Kingdom,118,353.7,,,,,
536968,2/14/2021 9:31:00,14631,United Kingdom,160,309.5,,,,,
536969,9/5/2021 15:12,12726,France,333,223.4,,,,,
536970,9/19/2021 16:33:00,15201,United Kingdom,-14,-8.59,,,,,
536971,1/5/2021 10:51,15606,United Kingdom,104,320.88,,,,,
536972,5/1/2021 11:50,15769,United Kingdom,1032,2574.48,,,,,
536973,5/9/2021 15:49,14680,United Kingdom,568,1226.16,,,,,
536974,2/12/2021 13:15,12704,Finland,81,198.76,,,,,
536975,6/7/2021 15:53,13999,United Kingdom,167,307.03,,,,,
536976,11/9/2021 12:34,13324,United Kingdom,680,855.6,,,,,
536980,5/23/2021 14:16:00,17686,United Kingdom,97,386.96,,,,,
536981,3/16/2021 12:22:00,13261,United Kingdom,20,99,,,,,
536982,9/3/2021 8:59,15206,United Kingdom,6,17.7,,,,,
536983,6/2/2021 14:43,16745,United Kingdom,406,203.82,,,,,
536984,10/1/2021 11:59,17849,United Kingdom,19,217.75,,,,,
536985,12/7/2021 16:20,,United Kingdom,652,1839.58,,,,,
536986,3/24/2021 8:56:00,15651,United Kingdom,238,227.32,,,,,
536987,5/22/2021 14:04:00,14711,United Kingdom,111,213.06,,,,,
536988,12/17/2020 15:39:00,16558,United Kingdom,127,311.15,,,,,
536989,8/22/2021 10:44:00,15572,United Kingdom,267,679.25,,,,,
536990,2/28/2021 13:35:00,16187,United Kingdom,247,480.9,,,,,
536991,8/31/2021 15:08:00,17677,United Kingdom,24,34.8,,,,,
536992,11/24/2021 10:12:00,17139,United Kingdom,232,468.52,,,,,
536993,6/6/2021 16:50,13552,United Kingdom,-14,-129.29,,,,,
536994,4/21/2021 18:06:00,,United Kingdom,378,1654.97,,,,,
536995,10/27/2021 9:23:00,15659,United Kingdom,111,306.45,,,,,
536996,10/10/2021 11:59,13418,United Kingdom,124,370.68,,,,,
536997,4/21/2021 17:05:00,14031,United Kingdom,46,99.63,,,,,
536998,1/23/2021 13:58:00,14224,United Kingdom,99,244.3,,,,,
536999,10/27/2021 16:24:00,13654,United Kingdom,24,99.6,,,,,
537000,5/9/2021 14:29,12709,Germany,-5,-19.03,,,,,
537001,10/13/2021 15:19:00,13719,United Kingdom,77,250.49,,,,,
537002,4/9/2021 12:09,16326,United Kingdom,85,313.05,,,,,
537003,5/25/2021 11:44:00,14287,United Kingdom,144,17.28,,,,,
537004,8/2/2021 14:15,16779,United Kingdom,308,364.32,,,,,
537005,12/1/2021 9:48,15197,United Kingdom,-12,-419.4,,,,,
537006,5/18/2021 11:14:00,16775,United Kingdom,31,114.7,,,,,
537007,5/17/2021 17:12:00,14931,Channel Islands,1,293,,,,,
537008,4/28/2021 12:06:00,15514,United Kingdom,152,385.2,,,,,
537009,8/7/2021 13:53,,United Kingdom,119,646.04,,,,,
537010,2/18/2021 11:53:00,15755,United Kingdom,198,314.68,,,,,
537011,12/14/2020 9:58:00,13599,United Kingdom,-2,-7.24,,,,,
537012,1/27/2021 16:05:00,16124,United Kingdom,-7,-61.85,,,,,
537014,8/11/2021 11:53,15005,United Kingdom,245,327.22,,,,,
537015,2/16/2021 10:04:00,16019,United Kingdom,396,1129.35,,,,,
537016,12/9/2021 18:19,16187,United Kingdom,-8,-39.6,,,,,
537018,7/8/2021 13:09,15518,United Kingdom,-1,-1.65,,,,,
537019,6/23/2021 13:15:00,14911,Ireland,-1,-4.25,,,,,
537020,11/29/2021 15:34:00,13576,United Kingdom,180,327.48,,,,,
537021,7/9/2021 13:11,,United Kingdom,7,14.1,,,,,
537022,4/10/2021 17:32,15955,United Kingdom,10,8.5,,,,,
537023,6/15/2021 10:29:00,15134,United Kingdom,101,171.63,,,,,
537025,1/17/2021 11:53:00,14135,United Kingdom,52,167.4,,,,,
537026,5/15/2021 13:27:00,15333,United Kingdom,344,1028.56,,,,,
537028,4/4/2021 11:28,15493,United Kingdom,106,412.49,,,,,
537029,11/8/2021 9:47,14346,United Kingdom,501,759.14,,,,,
537030,1/2/2021 11:20,12836,United Kingdom,254,798.99,,,,,
537031,1/11/2021 9:46,17166,United Kingdom,21,78.75,,,,,
537032,2/2/2021 9:39,14457,United Kingdom,88,113.64,,,,,
537034,2/28/2021 13:28:00,15874,United Kingdom,52,584.35,,,,,
537035,12/4/2021 12:53,15044,United Kingdom,114,440.5,,,,,
537036,1/11/2021 11:35,16960,United Kingdom,76,148.96,,,,,
537037,3/29/2021 15:44:00,16011,United Kingdom,63,118.55,,,,,
537038,9/11/2021 13:52,13209,United Kingdom,593,1049.66,,,,,
537040,9/13/2021 10:25:00,14060,United Kingdom,216,294.24,,,,,
537041,6/13/2021 10:45:00,,United Kingdom,2,23.25,,,,,
537042,10/25/2021 13:14:00,13685,United Kingdom,1524,594.36,,,,,
537044,5/24/2021 9:25:00,12670,France,210,393.34,,,,,
537047,8/9/2021 15:39,14522,United Kingdom,251,482.07,,,,,
537050,4/27/2021 14:28:00,14298,United Kingdom,618,428.64,,,,,
537051,11/2/2021 13:39,12505,Italy,-1,-4.5,,,,,
537052,10/3/2021 10:57,16422,United Kingdom,-35,-24.5,,,,,
537053,11/17/2021 20:01:00,15861,United Kingdom,-1,-165,,,,,
537054,7/11/2021 8:34,15618,United Kingdom,239,357.81,,,,,
537055,7/6/2021 13:21,14180,United Kingdom,21,149.15,,,,,
537057,7/1/2021 12:07,12583,France,491,730.16,,,,,
537059,8/8/2021 16:31,15985,United Kingdom,208,242.84,,,,,
537065,2/25/2021 14:11:00,17663,United Kingdom,179,371.39,,,,,
537067,2/6/2021 14:28,17900,United Kingdom,49,79.8,,,,,
537077,6/10/2021 16:41,12569,Germany,13,77.4,,,,,
537081,12/7/2021 16:58,12682,France,117,256.7,,,,,
537086,10/10/2021 12:18,14606,United Kingdom,-1,-0.39,,,,,
537090,2/9/2021 11:31,12471,Germany,-13,-84.72,,,,,
537111,10/11/2021 11:49,13081,United Kingdom,144,72,,,,,
537126,11/24/2021 17:02:00,16570,United Kingdom,208,427.08,,,,,
537127,3/25/2021 12:34:00,14646,Netherlands,731,1407.86,,,,,
537128,5/27/2021 16:23:00,,United Kingdom,1,5.95,,,,,
537129,12/13/2020 10:31:00,13715,United Kingdom,-2,-7.5,,,,,
